Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"374"	"SMAD4"	"450.0"	"Literature ChIP-seq,8;ARCHS4 Coexpression,438;Enrichr Queries,598;ReMap ChIP-seq,11;GTEx Coexpression,1195"	"ROBO2,SEMA5A,CYFIP2,NRP1,NRP2,TENM2,BMPR2,TRIO,TENM4,LRP1,CXCR4,PTPRJ,LRP2,KALRN,GLI3,ROBO1,CDH4,RELN,ZMIZ1,SLIT3,EPHB2,NEO1,EPHB1,MYH10,PLXNA4,EPHB3,EPHA5,LINGO1,EPHA6,BCL11B,DCC,UNC5C,PRKCA,UNC5D,ANK3,DCLK1,KLF7,ZEB2,NFASC,VANGL2,NFIB,TAOK1,CTNNB1,MET,DSCAML1,NECTIN1"
"gene_set_query"	"375"	"CAMTA2"	"452.3"	"ARCHS4 Coexpression,715;Enrichr Queries,507;GTEx Coexpression,135"	"CYFIP2,CHRNB2,RTN4R,SPTBN4,KLF7,ZMIZ1,LMO4,ANK3,HSPG2,MYH10,CELSR3"
"gene_set_query"	"376"	"RXRA"	"454.3"	"Literature ChIP-seq,144;ARCHS4 Coexpression,1065;ENCODE ChIP-seq,34;Enrichr Queries,597;ReMap ChIP-seq,186;GTEx Coexpression,700"	"LAMA5,NRP1,NRP2,TRIO,CXCR4,PRKCA,PSEN1,CELSR3,CRKL,DIAPH1,NFASC,ZMIZ1,NFIB,CTNNB1"
"gene_set_query"	"377"	"ZNF25"	"454.7"	"ARCHS4 Coexpression,207;Enrichr Queries,317;GTEx Coexpression,840"	"NRP1,NTRK2,FZD3,MYCBP2,PRKCA,KALRN,DCLK1,ZEB2,NFASC,NFIB,CHL1,MAP2,NCAM1,SLIT2"
"gene_set_query"	"378"	"ZNF800"	"455.7"	"ARCHS4 Coexpression,272;Enrichr Queries,864;GTEx Coexpression,231"	"NFASC,ZEB2,BMPR2,SEMA6A,TAOK1,MYCBP2,CXCR4,NCAM1,ATP7A,MEGF8,MYH10"
"gene_set_query"	"379"	"HSF1"	"456.0"	"Literature ChIP-seq,109;ARCHS4 Coexpression,850;ENCODE ChIP-seq,118;ReMap ChIP-seq,185;GTEx Coexpression,1018"	"ENAH,LAMA5,LRP1,PTCH1,PLXNA1,SLIT3,DSCAML1"
"gene_set_query"	"380"	"PAX8"	"456.3"	"ARCHS4 Coexpression,559;Enrichr Queries,353;ReMap ChIP-seq,59;GTEx Coexpression,854"	"NTRK2,LAMA5,BCL11B,LMO4,CXCR4,PRKCA,LRP2,HSPG2,CRKL,NELL2,RELN,NFIB,NCAM1,EPHB2,MET,NECTIN1"
"gene_set_query"	"381"	"ZNF609"	"456.3"	"ARCHS4 Coexpression,236;Enrichr Queries,359;GTEx Coexpression,774"	"EPHA6,TRIO,BMPR2,ZMIZ1,NFIB,TAOK1,MYCBP2,PRKCA,ZSWIM6,ANK3,MEGF8,ARHGAP35"
"gene_set_query"	"382"	"POGK"	"456.7"	"ARCHS4 Coexpression,577;Enrichr Queries,467;GTEx Coexpression,326"	"NRP1,EPHA4,ZEB2,TRIO,ZMIZ1,LMO4,NFIB,CNTN2,CXCR4,RAC1,ARHGAP35"
"gene_set_query"	"383"	"PRDM14"	"457.2"	"Literature ChIP-seq,79;ARCHS4 Coexpression,420;Enrichr Queries,308;ReMap ChIP-seq,39;GTEx Coexpression,1440"	"LAMA5,NRP2,TENM2,TENM4,CXCR4,LRP2,ROBO1,EFNB1,ZMIZ1,MYH10,EPHB3,EPHA4,SEMA6A,BCL11B,PTCH1,SEMA4C,UNC5D,L1CAM,HSPG2,NELL2,ENAH,KLF7,NFIB,NOVA2,MDGA1,NECTIN1"
"gene_set_query"	"384"	"MBD2"	"457.3"	"ARCHS4 Coexpression,586;Enrichr Queries,847;ReMap ChIP-seq,159;GTEx Coexpression,237"	"LAMA5,CXCR4,PTPRJ,CELSR3,DIAPH1,NFASC,CDH4,ZEB2,NFIB,CTNNB1,NCAM1,ATP7A,MEGF8"
"gene_set_query"	"385"	"HOXB7"	"457.4"	"Literature ChIP-seq,103;ARCHS4 Coexpression,746;Enrichr Queries,950;ReMap ChIP-seq,68;GTEx Coexpression,420"	"SEMA5A,NRP1,EPHA6,LRP1,BCL11B,CXCR4,PSEN1,L1CAM,EFNB1,DIAPH1,NFIB,RAC1,EPHB2,ATP7A,DSCAML1,EPHB1,PLXNA4"
"gene_set_query"	"386"	"NR4A2"	"458.0"	"Literature ChIP-seq,90;ARCHS4 Coexpression,937;Enrichr Queries,576;GTEx Coexpression,229"	"CHRNB2,NELL2,NRP1,EPHA4,KLF7,ZEB2,SEMA6A,DSCAM,NFIB,NOVA2,CXCR4,MDGA2"
